Time Base:500μs,
Sampling Rate:5.00MSa/s,
Amplitude:2.00V,
Amplitude resolution:80.00mV,
Data Uint:mv,
Data points:64000,
  0.00E+00,3.15e-05
 -8.00E+01,3.1624999999999996e-05
 -8.00E+01,3.175e-05
  0.00E+00,3.1874999999999996e-05
  0.00E+00,3.2e-05
  0.00E+00,3.2125e-05
 -8.00E+01,3.225e-05
  8.00E+01,3.2375e-05
  0.00E+00,3.25e-05
  8.00E+01,3.2625e-05
  8.00E+01,3.2749999999999996e-05
  8.00E+01,3.2875e-05
  1.60E+02,3.2999999999999996e-05
  8.00E+01,3.3125e-05
  8.00E+01,3.325e-05
  0.00E+00,3.3375e-05
  8.00E+01,3.35e-05
  8.00E+01,3.3625e-05
  0.00E+00,3.375e-05
  0.00E+00,3.3875e-05
 -8.00E+01,3.4e-05
  0.00E+00,3.4124999999999996e-05
  0.00E+00,3.425e-05
  0.00E+00,3.4374999999999995e-05
  0.00E+00,3.45e-05
 -8.00E+01,3.4625e-05
 -1.60E+02,3.475e-05
 -8.00E+01,3.4875e-05
 -1.60E+02,3.5e-05
 -1.60E+02,3.5125e-05
 -8.00E+01,3.5249999999999996e-05
 -8.00E+01,3.5375e-05
 -8.00E+01,3.5499999999999996e-05
 -1.60E+02,3.5625e-05
 -8.00E+01,3.575e-05
  0.00E+00,3.5875e-05
 -8.00E+01,3.6e-05
 -8.00E+01,3.6125e-05
 -8.00E+01,3.625e-05
 -8.00E+01,3.6374999999999996e-05
  0.00E+00,3.65e-05
 -8.00E+01,3.6624999999999996e-05
 -8.00E+01,3.675e-05
  0.00E+00,3.6874999999999995e-05
  0.00E+00,3.7e-05
  0.00E+00,3.7125e-05
  0.00E+00,3.725e-05
  8.00E+01,3.7375e-05
  0.00E+00,3.75e-05
  0.00E+00,3.7625e-05
  8.00E+01,3.7749999999999996e-05
  0.00E+00,3.7875e-05
  0.00E+00,3.7999999999999995e-05
  0.00E+00,3.8125e-05
  0.00E+00,3.825e-05
  8.00E+01,3.8375e-05
  0.00E+00,3.85e-05
  0.00E+00,3.8625e-05
  0.00E+00,3.875e-05
  0.00E+00,3.8874999999999996e-05
  0.00E+00,3.9e-05
  0.00E+00,3.9124999999999996e-05
 -8.00E+01,3.925e-05
